===== Inscriptions ici! =====

Info : https://forkinfo.be/phpbb/viewtopic.php?p=67627#67627


















===== Commandes =====

^     ^ Pains au choco ou croissant? ^ Bière ^
| ren0 | Pains au choco | Orval | 
| Staz | Pains au choco | Kriek | 
| Burton | Croissants | Leffe Blonde |
| Mag | Pains au choco | Blanche |
| ATP | Pains au choco | Westmalle| 
| Hawaii | Pains au choco | Leffe Blonde |
| B3K| Pains au choco | Bush |
| Fossile| Croissants | Kriek si lindemans sinon Blanche |
| Johnny| Hybride | Kriek |
| SDF | Croissants | Leffe Blonde |
| La copine de SDF| Croissants | Kriek |
|kortenberg|random|random(mais une bonne)|
| Anorak | Hybride | Kriek |
| Cy' | Pains au choco | Kriek | 
| dnz | Pains au choco | Kriek |
| Coralie | Pains au choco | Leffe Blonde |
|Bernardu | Pains au choco | Leffe Blonde |
| Tuning | Hybrid | Leffe Blonde |
| Gluck | Hybride | Leffe Blonde |
| Spoiler | Pains au choco | KriekRedbull |
| Toi? | non, pas une 2ième fois| 

